asset_id,profile_id,file_id,filename,mime_type,status,bytes
99460,253,69181,AST_EX_20240605_100823.jpeg,image/jpeg,skip,162920
99460,253,83363,AST_EX_20250607_140400.jpeg,image/jpeg,skip,121634
99611,253,42725,AST_IM_20220518_133647.jpeg,image/jpeg,skip,128084
99611,253,42728,AST_IM_20220518_133713.jpeg,image/jpeg,skip,127367
99611,253,78067,AST_EX_20241211_121546.jpeg,image/jpeg,skip,123383
99612,253,42722,AST_IM_20220518_134549.jpeg,image/jpeg,skip,73133
99612,253,42724,AST_IM_20220518_134603.jpeg,image/jpeg,skip,104513
99612,253,42731,AST_IM_20220518_134527.jpeg,image/jpeg,skip,162036
99612,253,78068,AST_EX_20241211_120735.jpeg,image/jpeg,skip,89982
99612,253,78069,AST_EX_20241211_121019.jpeg,image/jpeg,skip,138020
99614,253,42726,AST_IM_20220518_122843.jpeg,image/jpeg,skip,122463
99614,253,42727,AST_IM_20220518_122654.jpeg,image/jpeg,skip,149091
99614,253,42729,AST_IM_20220518_122712.jpeg,image/jpeg,skip,121522
99614,253,78075,AST_EX_20241211_135900.jpeg,image/jpeg,skip,121259
99614,253,78076,AST_EX_20241211_135846.jpeg,image/jpeg,skip,84049
99614,253,78078,AST_EX_20241211_135756.jpeg,image/jpeg,skip,128299
99615,253,42721,AST_IM_20220518_135321.jpeg,image/jpeg,skip,107034
99615,253,42723,AST_IM_20220518_135239.jpeg,image/jpeg,skip,147727
99615,253,78070,AST_EX_20241211_120344.jpeg,image/jpeg,skip,79503
99814,253,43092,AST_IM_20220526_143914.jpeg,image/jpeg,skip,99549
99844,253,43175,AST_IM_20220527_110127.jpeg,image/jpeg,skip,114896
99880,253,67956,AST_EX_20240423_102852.jpeg,image/jpeg,skip,199855
99882,253,67960,AST_EX_20240423_105328.jpeg,image/jpeg,skip,177903
99884,253,67955,AST_EX_20240423_115441.jpeg,image/jpeg,skip,190971
100111,253,43616,AST_IM_20220529_134628.jpeg,image/jpeg,skip,74338
100111,253,43648,AST_IM_20220529_134602.jpeg,image/jpeg,skip,119616
100111,253,43649,AST_IM_20220529_134610.jpeg,image/jpeg,skip,127499
100111,253,63984,AST_EX_20221027_105528.jpeg,image/jpeg,skip,129700
100111,253,63985,AST_EX_20221027_105519.jpeg,image/jpeg,skip,135854
100111,253,77909,AST_EX_20241203_154639.jpeg,image/jpeg,skip,56254
100111,253,77913,AST_EX_20241203_154604.jpeg,image/jpeg,skip,72899
100111,253,77914,AST_EX_20241203_154619.jpeg,image/jpeg,skip,70928
100111,253,77915,AST_EX_20241203_154938.jpeg,image/jpeg,skip,100439
100111,253,77916,AST_EX_20241203_154648.jpeg,image/jpeg,skip,107795
100138,253,43602,AST_IM_20220529_151732.jpeg,image/jpeg,skip,99872
100138,253,78265,AST_EX_20250107_143755.jpeg,image/jpeg,skip,109491
100138,253,78266,AST_EX_20250107_143818.jpeg,image/jpeg,skip,111909
100138,253,78268,AST_EX_20250107_143800.jpeg,image/jpeg,skip,118618
100138,253,78269,AST_EX_20250107_143736.jpeg,image/jpeg,skip,108502
100140,253,63986,AST_EX_20221027_104925.jpeg,image/jpeg,skip,106601
100140,253,63987,AST_EX_20221027_104858.jpeg,image/jpeg,skip,149156
100140,253,77910,AST_EX_20241203_155500.jpeg,image/jpeg,skip,127434
100140,253,77911,AST_EX_20241203_155417.jpeg,image/jpeg,skip,83157
100140,253,77912,AST_EX_20241203_155411.jpeg,image/jpeg,skip,113555
100140,253,77918,AST_EX_20241203_155352.jpeg,image/jpeg,skip,134761
100140,253,91327,AST_EX_20251127_132852.jpeg,image/jpeg,skip,133186
100140,253,91328,AST_EX_20251127_132943.jpeg,image/jpeg,skip,115664
100148,253,43607,AST_IM_20220529_152007.jpeg,image/jpeg,skip,100667
100148,253,78259,AST_EX_20250107_144832.jpeg,image/jpeg,skip,144456
100177,253,92639,AST_EX_20260218_142604.jpeg,image/jpeg,skip,150550
100177,253,92640,AST_EX_20260218_142448.jpeg,image/jpeg,skip,138638
100177,253,92641,AST_EX_20260218_142429.jpeg,image/jpeg,skip,133532
100181,253,92612,AST_EX_20260217_155758.jpeg,image/jpeg,skip,170920
100184,253,92614,AST_EX_20260217_155547.jpeg,image/jpeg,skip,171370
100251,253,92646,AST_EX_20260218_135446.jpeg,image/jpeg,skip,125157
100251,253,92647,AST_EX_20260218_135426.jpeg,image/jpeg,skip,143262
100252,253,64953,AST_EX_20230516_143612.jpeg,image/jpeg,skip,80383
100252,253,64955,AST_EX_20230516_143612.jpeg,image/jpeg,skip,80383
100252,253,64958,AST_EX_20230516_143612.jpeg,image/jpeg,skip,80383
100252,253,64959,AST_EX_20230516_143612.jpeg,image/jpeg,skip,80383
100252,253,64963,AST_EX_20230516_143612.jpeg,image/jpeg,skip,80383
100252,253,71919,AST_EX_20240803_130634.jpeg,image/jpeg,skip,88774
100253,253,92642,AST_EX_20260218_141518.jpeg,image/jpeg,skip,132288
100253,253,92643,AST_EX_20260218_141452.jpeg,image/jpeg,skip,147835
100262,253,64973,AST_EX_20230516_142951.jpeg,image/jpeg,skip,96790
100263,253,43871,AST_IM_20220531_152015.jpeg,image/jpeg,skip,131246
100263,253,64954,AST_EX_20230516_143321.jpeg,image/jpeg,skip,69281
100267,253,64952,AST_EX_20230516_143824.jpeg,image/jpeg,skip,91619
100267,253,64964,AST_EX_20230516_143824.jpeg,image/jpeg,skip,91619
100267,253,64966,AST_EX_20230516_143824.jpeg,image/jpeg,skip,91619
100267,253,64968,AST_EX_20230516_143824.jpeg,image/jpeg,skip,91619
100267,253,64972,AST_EX_20230516_143824.jpeg,image/jpeg,skip,91619
100267,253,71920,AST_EX_20240803_130838.jpeg,image/jpeg,skip,115780
100269,253,92617,AST_EX_20260217_153510.jpeg,image/jpeg,skip,149012
100269,253,92618,AST_EX_20260217_153501.jpeg,image/jpeg,skip,159027
100270,253,92615,AST_EX_20260217_154214.jpeg,image/jpeg,skip,106823
100270,253,92616,AST_EX_20260217_154145.jpeg,image/jpeg,skip,153441
100272,253,92644,AST_EX_20260218_140920.jpeg,image/jpeg,skip,134023
100272,253,92645,AST_EX_20260218_140858.jpeg,image/jpeg,skip,151614
100274,253,64951,AST_EX_20230516_144506.jpeg,image/jpeg,skip,99350
100274,253,64970,AST_EX_20230516_144506.jpeg,image/jpeg,skip,99350
100274,253,64971,AST_EX_20230516_144506.jpeg,image/jpeg,skip,99350
100274,253,64974,AST_EX_20230516_144506.jpeg,image/jpeg,skip,99350
100274,253,64975,AST_EX_20230516_144506.jpeg,image/jpeg,skip,99350
100274,253,71915,AST_EX_20240803_131602.jpeg,image/jpeg,skip,124042
100274,253,71916,AST_EX_20240803_131539.jpeg,image/jpeg,skip,89482
100313,253,69313,MI_20240606_100356.jpg,image/jpeg,skip,1177769
100347,253,44047,AST_IM_20220601_123719.jpeg,image/jpeg,skip,137469
100347,253,74872,bridge4.jpg,image/jpeg,skip,6472967
100348,253,44046,AST_IM_20220601_123850.jpeg,image/jpeg,skip,131790
100348,253,74867,bridge5.jpg,image/jpeg,skip,7068207
100446,253,92627,AST_EX_20260217_152139.jpeg,image/jpeg,skip,134744
100446,253,92628,AST_EX_20260217_152037.jpeg,image/jpeg,skip,151090
100450,253,92629,AST_EX_20260217_151848.jpeg,image/jpeg,skip,134864
100475,253,92624,AST_EX_20260217_152509.jpeg,image/jpeg,skip,151868
100475,253,92625,AST_EX_20260217_152448.jpeg,image/jpeg,skip,162812
100475,253,92626,AST_EX_20260217_152344.jpeg,image/jpeg,skip,170880
