created,description,filename,mime_type,size,id,asset_id,profile_id
2021-09-02 23:30:04.499513+00,,AST_EX_20210902_150337.jpeg,image/jpeg,101671,19731,51531,253
2021-09-02 23:30:05.466752+00,,AST_EX_20210902_150306.jpeg,image/jpeg,100341,19733,51531,253
2021-09-02 23:30:05.46847+00,,AST_EX_20210902_150318.jpeg,image/jpeg,116791,19734,51531,253
2024-08-21 18:12:50.937231+00,,AST_EX_20240821_110901.jpeg,image/jpeg,147697,72728,51531,253
2024-08-21 18:12:52.980312+00,,AST_EX_20240821_110849.jpeg,image/jpeg,130900,72729,51531,253
2021-09-02 23:30:05.439889+00,,AST_EX_20210902_144934.jpeg,image/jpeg,93182,19732,51532,253
2021-09-02 23:30:05.468848+00,,AST_EX_20210902_144747.jpeg,image/jpeg,115631,19735,51532,253
2024-10-28 16:37:58.386478+00,,AST_EX_20241024_102926.jpeg,image/jpeg,149207,76385,51532,253
2021-08-26 22:50:18.322603+00,,AST_EX_20210826_122310.jpeg,image/jpeg,602328,18691,51533,253
2021-08-26 22:50:18.329504+00,,AST_EX_20210826_122251.jpeg,image/jpeg,545489,18692,51533,253
2021-08-26 22:50:18.33319+00,,AST_EX_20210826_122210.jpeg,image/jpeg,421202,18693,51533,253
2021-08-26 22:50:18.337085+00,,AST_EX_20210826_122149.jpeg,image/jpeg,426181,18694,51533,253
2021-08-26 22:50:18.340939+00,,AST_EX_20210826_122133.jpeg,image/jpeg,523233,18695,51533,253
2021-09-27 16:55:29.299826+00,,AST_EX_20210923_142416.jpeg,image/jpeg,110732,24184,51599,253
2021-09-27 16:55:30.265382+00,,AST_EX_20210923_142430.jpeg,image/jpeg,117710,24192,51599,253
2025-09-11 14:58:27.002974+00,,AST_EX_20250826_091638.jpeg,image/jpeg,136212,87641,51599,253
2021-07-19 21:43:25.026765+00,,AST_EX_20210719_112242.jpeg,image/jpeg,463213,6759,51798,253
2022-01-13 00:20:37.231+00,ERF Bridge Constr. Dwgs,0836-045 Lower Bridge Drawings with Bobcat Load Rating Nov 16 2015.pdf,application/pdf,933833,35367,51798,253
2022-01-13 00:20:37.231+00,ERF Bridge Dwgs,0836-045 Upper Bridge Bobcat Load Assessment Nov 16 2015.pdf,application/pdf,490493,35368,51798,253
2022-01-13 00:20:37.231+00,ERF 2020 Bridge Inspection,0836-053 - Upper Englishman River Bridge Inspection - 2020.04.30_SEALED.pdf,application/pdf,6613114,35369,51798,253
2024-12-02 19:41:53.292554+00,,AST_EX_20241128_121253.jpeg,image/jpeg,96592,77868,51798,253
2024-12-02 19:41:53.388895+00,,AST_EX_20241128_121359.jpeg,image/jpeg,114051,77873,51798,253
2024-12-02 19:41:53.737802+00,,AST_EX_20241128_121243.jpeg,image/jpeg,125751,77875,51798,253
2024-12-02 19:41:54.0399+00,,AST_EX_20241128_121213.jpeg,image/jpeg,140800,77886,51798,253
2024-12-02 19:41:54.393346+00,,AST_EX_20241128_121149.jpeg,image/jpeg,150407,77896,51798,253
2024-12-02 19:41:54.393481+00,,AST_EX_20241128_121412.jpeg,image/jpeg,166924,77898,51798,253
2021-07-19 21:43:25.695025+00,decking 2021,AST_EX_20210719_120007.jpeg,image/jpeg,367647,6762,51799,253
2021-07-19 21:43:25.702836+00,new looking railing 2021,AST_EX_20210719_115947.jpeg,image/jpeg,480736,6763,51799,253
2024-12-02 19:41:53.341192+00,metal stairs and moss growth,AST_EX_20241128_114751.jpeg,image/jpeg,84999,77869,51799,253
2024-12-02 19:41:53.348463+00,railing support,AST_EX_20241128_114809.jpeg,image/jpeg,90671,77870,51799,253
2024-12-02 19:41:53.374708+00,support at abutment,AST_EX_20241128_114711.jpeg,image/jpeg,95737,77871,51799,253
2024-12-02 19:41:53.384366+00,bridge deck,AST_EX_20241128_114625.jpeg,image/jpeg,97058,77872,51799,253
2024-12-02 19:41:53.400227+00,railing and graffiti,AST_EX_20241128_114648.jpeg,image/jpeg,93650,77874,51799,253
2024-12-02 19:41:53.799409+00,stairs,AST_EX_20241128_114727.jpeg,image/jpeg,123028,77880,51799,253
2024-12-02 19:41:53.881189+00,abutment,AST_EX_20241128_114636.jpeg,image/jpeg,124697,77883,51799,253
2024-12-02 19:41:54.08103+00,approach from path opposite stairs,AST_EX_20241128_114614.jpeg,image/jpeg,144365,77890,51799,253
2021-08-20 21:59:29.679674+00,,AST_EX_20210820_130839.jpeg,image/jpeg,1155689,16817,51800,253
2025-01-27 18:10:25.921185+00,,AST_EX_20250123_153654.jpeg,image/jpeg,95765,78654,51800,253
2025-01-27 18:10:28.768592+00,,AST_EX_20250123_153640.jpeg,image/jpeg,91913,78655,51800,253
2025-01-27 18:10:30.908691+00,,AST_EX_20250123_153603.jpeg,image/jpeg,107626,78657,51800,253
2025-01-27 18:10:31.045518+00,,AST_EX_20250123_153547.jpeg,image/jpeg,109166,78658,51800,253
2025-01-27 18:10:32.231488+00,,AST_EX_20250123_153553.jpeg,image/jpeg,117084,78663,51800,253
2025-01-27 18:10:32.257896+00,,AST_EX_20250123_153537.jpeg,image/jpeg,129383,78665,51800,253
2022-03-03 23:14:16.821651+00,,AST_EX_20220303_115249.jpeg,image/jpeg,60009,36431,51858,253
2022-03-03 23:14:16.831138+00,,AST_EX_20220303_115222.jpeg,image/jpeg,62215,36434,51858,253
2022-03-03 23:14:17.177052+00,,AST_EX_20220303_115237.jpeg,image/jpeg,66885,36451,51858,253
2022-03-03 23:14:17.17847+00,,AST_EX_20220303_115231.jpeg,image/jpeg,80094,36452,51858,253
2022-03-03 23:14:17.182828+00,,AST_EX_20220303_115300.jpeg,image/jpeg,69214,36456,51858,253
2025-07-31 17:28:54.634+00,Bridge,GetAttachmentThumbnail.jpg,image/jpeg,44180,85695,51858,253
2025-07-31 17:31:03.132+00,Bridge,GetAttachmentThumbnail.jpg,image/jpeg,39184,85696,51858,253
2025-11-06 21:52:20.064+00,,20251106_092906.jpg,image/jpeg,5392978,90307,51858,253
2021-09-11 23:20:07.659904+00,,AST_EX_20210911_102513.jpeg,image/jpeg,170119,21408,51941,253
2022-02-09 05:14:57.628795+00,,AST_EX_20220208_095136.jpeg,image/jpeg,101178,35709,51941,253
2021-06-23 15:45:16.878864+00,,AST_EX_20210622_111115.jpeg,image/jpeg,489755,1723,52242,253
2024-10-16 22:20:43.787336+00,,AST_EX_20241016_124435.jpeg,image/jpeg,117004,75272,52242,253
2021-06-23 15:45:17.390315+00,,AST_EX_20210622_104319.jpeg,image/jpeg,340182,1726,52243,253
2024-10-16 22:20:43.703209+00,,AST_EX_20241016_131547.jpeg,image/jpeg,110462,75268,52243,253
2025-09-18 16:54:47.518605+00,,AST_EX_20250915_161324.jpeg,image/jpeg,136345,88242,52456,253
2024-12-07 21:51:26.583+00,bridge in 2022 after installing railings,IMG_3182.jpg,image/jpeg,5277653,77956,52457,253
2021-09-28 22:22:37.887343+00,,AST_EX_20210924_093207.jpeg,image/jpeg,99720,24467,52458,253
2022-05-11 17:07:44.73+00,Tay Creek bridge,20220510_131639.jpg,image/jpeg,6819779,40680,52551,253
2025-11-13 18:31:01.082+00,,20251112_103203.jpg,image/jpeg,8380561,90512,52551,253
2025-11-13 18:31:01.082+00,,20251112_103049.jpg,image/jpeg,8449998,90513,52551,253
