created,description,exclude_psab,ignore_threshold,is_aro_identified,is_aro_reviewed,is_contaminated,is_contributed,is_gov_transfer,is_heritage,is_import,is_leased,is_locked,is_recycled,is_water_service,is_wastewater_service,is_wip,is_works,historical_cost,name,profile_id,service_date,updated,valuation_cost,class_classification_id,category_classification_id,segment_classification_id,is_disposed,id,profile_id_used,profile_name,import_id
2022-07-28 15:51:39.948222+00,Kuitshe to Parkinson- Boardwalk 19 | Condition 10 | 5 metres long,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,Kuitshe to Parkinson- Boardwalk 19,337,2012-01-01,2026-04-28 08:50:10.685393+00,450.0,13184,21528,21529,True,109163,337,Boardwalk < 1.2m High,
2022-07-28 18:45:54.406933+00,long boardwalk located at Taylor meadows work cabin. comes up from creek and continues on to trail to BTJ or back down to GL. has some small steps built in,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,28000.0,Boardwalk at TM work cabin,337,1996-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,109174,337,Boardwalk < 1.2m High,
2022-07-28 19:22:00.701604+00,2 parts | 8 feet long and 6 feet long | Both 4 feet wide,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,Chain Meadows boardwalk,337,2001-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,109186,337,Boardwalk < 1.2m High,
2022-07-28 19:22:00.753228+00,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,Philip Lake boardwalk,337,2001-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,109190,337,Boardwalk < 1.2m High,
2022-07-28 19:22:00.739656+00,40/100 needs fixing had a large tree fall on it. Middle is busted  | 10 feet long | 3 feet wide,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,Chain Meadows boardwalk,337,2017-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,109191,337,Boardwalk < 1.2m High,
2022-07-28 21:30:18.916421+00,Condition 70. About 300m long just past outhouse junction towards BTJ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,boardwalk,337,2012-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,109329,337,Boardwalk < 1.2m High,
2022-07-28 21:30:18.944717+00,** needs description,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,boardwalk 1 TM to BTJ,337,2012-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,109330,337,Boardwalk < 1.2m High,
2022-07-28 21:30:19.019601+00,** needs description,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,boardwalk 2 - TM to BTJ,337,2012-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,109331,337,Boardwalk < 1.2m High,
2022-07-28 21:30:19.261205+00,Condition 70. Some loose planks,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,boardwalk- cheakamus #4,337,2012-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,109341,337,Boardwalk < 1.2m High,
2022-07-28 21:30:19.307702+00,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,boardwalk 3 -cheakamus,337,2012-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,109355,337,Boardwalk < 1.2m High,
